group,trial,producer,phase_bytes,throughput_MB_s,write_syscall_s,max_write_ms,eagain_count,partial_count,write_calls,blocked_s,max_backpressure_wait_ms,syscall_s_per_GiB,eagain_per_GiB,partial_per_GiB
128,3,13,205011445,3.416864876821648,1.556627952,0.932125,199661,199838,449587,58.099700764,30.29375,8.152796232765757,1045719.0149635987,1046646.0476121808
128,3,14,205018057,3.4169751340119614,1.568162147,0.395458,199778,199924,449791,58.088031213,32.042541,8.212941380317227,1046298.0542005234,1047062.7005375238
128,3,15,204900718,3.415020105797919,1.529828259,0.625333,199555,199735,449351,58.125938719,32.034459,8.01676344162642,1045728.6425336977,1046671.8970532841
128,4,0,212663343,3.5443964341592378,1.665143432,0.653625,206888,207122,465967,57.973441811,2.858875,8.407345246600869,1044581.992128808,1045763.4631960432
128,4,1,209741896,3.4957062485292676,1.625875161,2.055458,203950,204227,459421,58.013877955,2.803666,8.323421282357597,1044091.0909129953,1045509.15039906
128,4,2,209296849,3.488289188560719,1.622742559,0.553,203800,203985,458920,58.023179641,3.324084,8.325049151519178,1045541.7020215149,1046490.7953231537
128,4,3,208122086,3.4687096426128208,1.630180319,0.480416,202646,202843,456337,58.018946046,3.585041,8.410413439599878,1045489.6443153275,1046506.0051609899
128,4,4,206752787,3.445887766306659,1.638017976,0.541,201491,201612,453616,58.012598532,4.063583,8.50681838351726,1046415.4655365492,1047043.8621961018
128,4,5,206112623,3.4352179408128034,1.670384437,0.399333,200845,200980,452182,57.98174181,2.656125,8.701852443872848,1046300.1901697209,1047003.4714347408
128,4,6,205597726,3.4266365337094764,1.625929841,0.483084,200319,200453,451003,58.027575652,3.622584,8.491479488306062,1046173.4797682344,1046873.2997867495
128,4,7,205018685,3.4169858285012116,1.640718245,0.354417,199764,199903,449757,58.01387594,3.668875,8.592913377902013,1046221.527220975,1046949.5102023116
128,4,8,204654120,3.410910186184447,1.653042108,0.444958,199406,199562,448969,58.001946563,3.233542,8.672879139656338,1046206.9473927229,1047025.4196743657
128,4,9,204316437,3.4052820091674216,1.657010332,0.687833,198979,199158,448055,57.998099612,3.7275,8.708067360574253,1045692.052655049,1046632.7492985403
128,4,10,203950810,3.399187361613249,1.661830577,0.333708,198728,198857,447414,57.995220521,3.017042,8.749055691060763,1046245.2451150941,1046924.3926766851
128,4,11,203818337,3.396979756688798,1.626807463,0.494083,198417,198632,446845,58.030489132,4.502417,8.570235820432744,1045286.8698099917,1046419.5181063027
128,4,12,203680136,3.3946762884652917,1.646381391,0.393917,198453,198605,446821,58.010339667,3.130542,8.679238891376217,1046185.8990425655,1046987.1983761833
128,4,13,203485128,3.391426148089988,1.626065095,2.694667,198182,198374,446271,58.028288769,2.955083,8.580352373702874,1045758.4996775194,1046771.6372578148
128,4,14,203418007,3.39030695378569,1.641141969,0.415917,198191,198343,446233,58.015739284,3.201667,8.662766867227303,1046151.0707868846,1046953.4026927714
128,4,15,203337878,3.3889721455549227,1.61194768,0.494792,198118,198263,446060,58.044546669,2.992333,8.512017825403728,1046177.8433983264,1046943.5274214478
128,5,0,214589689,3.5765028637981104,1.738564591,0.434958,208713,208965,470106,57.898910975,7.370667,8.699250759817048,1044336.6517601506,1045597.583452204
128,5,1,211008735,3.516820397300587,1.699105472,0.393709,205209,205462,462224,57.946047929,58.233166,8.646090450585664,1044229.2162038505,1045516.6353311772
128,5,2,210795820,3.5132698734434427,1.713294708,0.489792,205052,205322,461875,57.931645313,2.860667,8.727099924550057,1044484.2240934758,1045859.5373823257
128,5,3,209712560,3.4952166732883474,1.728575715,0.717417,204096,204296,459628,57.915336816,6.33375,8.85041907430916,1044984.6747905992,1046008.6876813864
128,5,4,207903072,3.4650594006405817,1.695484633,0.472333,202391,202621,455806,57.95191493,3.7125,8.756545754174285,1045274.0279911978,1046461.8922066914
128,5,5,207411903,3.456873576954823,1.738694685,0.431541,202035,202194,454903,57.911910342,6.337333,9.00097427123556,1045906.36445701,1046729.4847675931
128,5,6,206904235,3.4484106985410405,1.741775088,0.417833,201568,201729,453847,57.909944209,4.009167,9.039045334122235,1046049.1153312159,1046884.6343995617
128,5,7,206117485,3.4352997758961212,1.715214131,0.381375,200747,200918,452023,57.937949732,5.120833,8.935181552261396,1045764.9914684724,1046655.7933909973
128,5,8,205791778,3.429870912534281,1.729668146,0.399291,200445,200625,451348,57.924189443,8.454167,9.02473873373473,1045844.4064353241,1046783.576747172
128,5,9,205128926,3.4188234675684823,1.710706085,0.330125,199794,199974,449885,57.944799791,6.581583,8.954644807314006,1045816.297913323,1046758.5030527386
128,5,10,205254809,3.4209209523440793,1.755100595,0.387125,200012,200154,450313,57.897837251,2.928,9.181392257556242,1046315.3128942669,1047058.1521960638
128,5,11,204959051,3.415991641581751,1.731337732,0.376458,199682,199842,449599,57.923699927,2.884125,9.070151941314869,1046096.348777337,1046934.5586099927
128,5,12,204690011,3.411508200377604,1.720298797,0.420542,199377,199547,448933,57.93636692,3.078375,9.024166636621002,1045871.3769068486,1046763.1454361884
128,5,13,204561820,3.4093713377521766,1.711558926,0.480417,199279,199461,448718,57.944188894,6.748292,8.983946286197106,1046012.3836642439,1046967.6988446035
128,5,14,204174361,3.4029135030763737,1.701752546,0.470541,198896,199066,447845,57.954022306,3.969667,8.949423785578464,1045983.2115076584,1046877.2322318373
128,5,15,204165935,3.4027727291560645,1.684538675,0.360375,198730,198951,447562,57.971465483,2.62725,8.859262587037565,1045153.3586321342,1046315.6335390818
64,1,0,211580515,3.526350497452877,1.691768611,0.4905,205776,206047,463516,57.94848544,4.351083,8.585491505023922,1044284.7139086697,1045660.0013934553
64,1,1,208324514,3.472083276992925,1.686695587,0.604125,202809,203005,456711,57.960201281,5.069834,8.693530882871185,1045313.8778646857,1046324.0969381068
64,1,2,207831082,3.46385904488755,1.672233384,0.534416,202265,202495,455537,57.974977602,5.668541,8.639453283940718,1044985.1289873957,1046173.404663697
64,1,3,206911570,3.448534040819393,1.698800615,0.619208,201558,201726,453836,57.950248728,5.5165,8.815714224982303,1045960.1392120895,1046831.9542895741
64,1,4,205708243,3.428479059299044,1.706302034,0.49025,200371,200533,451162,57.945785911,4.195708,8.906438709323233,1045882.8478579927,1046728.4443832034
64,1,5,204855701,3.4142697637717743,1.70008112,0.6045,199558,199732,449340,57.954278283,4.243708,8.910897738387876,1045974.1655605279,1046886.1786334567
64,1,6,204334839,3.405588880173127,1.715369859,0.69825,199159,199288,448370,57.938372599,4.227209,9.013951660183032,1046543.7463946909,1047221.6175593629
64,1,7,203912287,3.3985459899648767,1.714638547,0.592,198734,198856,447409,57.940400907,4.448542,9.028779717214833,1046474.495432519,1047116.911367602
64,1,8,203631930,3.393873532167359,1.722819317,0.425209,198445,198587,446783,57.932536611,4.282416,9.084347213415962,1046391.380092896,1047140.1395777568
64,1,9,203399620,3.3900015766703455,1.710003097,0.490583,198147,198313,446154,57.945498899,4.317834,9.027066247313682,1046013.3662006252,1046889.6763077138
64,1,10,203011863,3.3835390577091036,1.739730319,0.558167,197735,197902,445236,57.910996056,4.4205,9.201537183032313,1045832.1815835955,1046715.4545212365
64,1,11,202722302,3.378712522812759,1.714998595,0.715333,197514,197698,444741,57.941956171,4.092708,9.083685916080103,1046155.4576542644,1047130.0346675819
64,1,12,202527068,3.375458221795599,1.704054322,0.818708,197327,197485,444293,57.952263214,4.120417,9.03441902343327,1046172.5190454443,1047010.1908187403
64,1,13,202502217,3.3750428000741866,1.684925007,0.666167,197051,197270,443796,57.970914637,4.771458,8.934097004574486,1044837.4506488687,1045998.6698342172
64,1,14,202176966,3.369624018616444,1.703321581,0.593625,196876,197082,443353,57.952625318,4.013292,9.046172061170923,1045588.9190751037,1046682.9646536886
64,1,15,201957085,3.3659591022732833,1.68338328,3.359875,196472,196744,442558,57.968618589,4.027333,8.950015462732107,1044579.3651900254,1046025.5029976097
64,2,0,211810050,3.530175089876443,1.67266202,0.617416,205911,206179,463839,57.968189981,5.922042,8.479329324979265,1043837.4039459601,1045195.9929686812
